x/c,    y/c
0.395929051,    -0.004195612
0.400819504,    -0.004009499
0.405710255,    -0.003831429
0.410601294,    -0.003661415
0.415492606,    -0.003499471
0.42038418  ,-0.00334562
0.425276002,    -0.003199887
0.43016806  ,-0.003062302
0.435060342,    -0.002932901
0.439952834,    -0.002811723
0.444845524,    -0.002698811
0.449738398,    -0.002594211
0.454631445,    -0.002497973
0.459524649,    -0.002410151
0.464417998,    -0.0023308
0.469311478,    -0.002259978
0.474205075,    -0.002197744
0.479098774,    -0.00214416
0.483992561,    -0.002099287
0.488886421,    -0.002063189
0.493780337,    -0.002035929
0.498674295,    -0.00201757
0.503568279,    -0.002008173
0.508462271,    -0.002007799
0.513356256,    -0.002016508
0.518250216,    -0.002034356
0.523144134,    -0.002061398
0.528037992,    -0.002097684
0.532931772,    -0.002143262
0.537825456,    -0.002198175
0.542719027,    -0.002262462
0.547612464,    -0.002336154
0.552505751,    -0.002419279
0.557398868,    -0.002511858
0.562291796,    -0.002613905
0.567184518,    -0.002725426
0.572077015,    -0.002846419
0.576969268,    -0.002976874
0.581861261,    -0.003116773
0.586752975,    -0.003266085
0.591644394,    -0.003424773
0.596535502,    -0.003592786
0.601426282,    -0.003770063
0.606316721,    -0.003956533
0.611206804,    -0.00415211
0.616096519,    -0.004356696
0.620985853,    -0.004570181
0.625874796,    -0.00479244
0.630763339,    -0.005023334
0.635651474,    -0.005262709
0.640539194,    -0.005510396
0.645426496,    -0.005766211
0.650313377,    -0.006029952
0.655199836,    -0.006301402
0.660085873,    -0.006580325
0.664971494,    -0.00686647
0.669856702,    -0.007159565
0.674741505,    -0.007459322
0.679625915,    -0.007765432
0.684509944,    -0.008077568
0.689393606,    -0.008395382
0.69427692  ,-0.008718506
0.699159905,    -0.009046553
0.704042586,    -0.009379112
0.708924986,    -0.009715752
0.713807136,    -0.010056021
0.718689064,    -0.010399442
0.723570805,    -0.010745518
0.728452394,    -0.011093726
0.73333387  ,-0.011443523
0.738215272,    -0.011794338
0.743096644,    -0.012145578
0.74797803  ,-0.012496625
0.752859476,    -0.012846835
0.75774103  ,-0.013195538
0.762622741,    -0.01354204
0.767504659,    -0.013885617
0.772386833,    -0.014225522
0.777269315,    -0.014560979
0.782152155,    -0.014891183
0.787035403,    -0.015215304
0.791919107,    -0.015532481
0.796803313,    -0.015841825
0.801688065,    -0.016142419
0.806573405,    -0.016433314
0.811459368,    -0.016713535
0.816345988,    -0.016982073
0.82123329  ,-0.017237892
0.826121294,    -0.017479924
0.831010012,    -0.017707069
0.835899448,    -0.0179182
0.840789596,    -0.018112156
0.845680437,    -0.018287746
0.850571943,    -0.018443748
0.855464069,    -0.018578912
0.860356755,    -0.018691954
0.865249928,    -0.018781563
0.870143491,    -0.018846398
0.87503733  ,-0.01888509
0.87993131  ,-0.018896241
0.88482527  ,-0.018878428
0.889719025,    -0.018830201
0.894612362,    -0.018750089
0.899505038,    -0.018636595
0.90439678  ,-0.018488205
0.909287282,    -0.018303386
0.9141762   ,-0.018080588
0.919063157,    -0.017818251
0.923947733,    -0.017514804
0.92882947  ,-0.017168671
0.933707866,    -0.016778272
0.938582377,    -0.016342031
0.943452412,    -0.015858377
0.948317335,    -0.015325752
0.953176462,    -0.014742614
0.958029061,    -0.014107443
0.962874354,    -0.013418748
0.967711512,    -0.01267507
0.972539663,    -0.011874992
0.977247308,    -0.011037511
0.981517999,    -0.010227278
0.985392408,    -0.009449528
0.988907479,    -0.008707902
0.992096747,    -0.00800472
0.994990632,    -0.007341232
0.997616717,    -0.006717831
1,  -0.006134238
